name,diet,period,start_mya,extinction_mya,lived_in,ISO3,type,length_m,taxonomy,named_by,species,link
oviraptor,omnivorous,Late Cretaceous,85,75,Mongolia,MNG,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html
citipati,omnivorous,Late Cretaceous,81,75,Mongolia,MNG,small theropod,2.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Clark Norell and Barsbold (2001),osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html
pinacosaurus,herbivorous,Late Cretaceous,81,75,Mongolia,MNG,armoured dinosaur,5.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html
conchoraptor,carnivorous,Late Cretaceous,81,76,Mongolia,MNG,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1986),gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html
bagaceratops,herbivorous,Late Cretaceous,85,80,Mongolia,MNG,ceratopsian,1.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,Maryanska and Osmolska (1975),rozhdestvenskyi,https://www.nhm.ac.uk/discover/dino-directory/bagaceratops.html
saurornithoides,carnivorous,Late Cretaceous,85,80,Mongolia,MNG,small theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html
shuvuuia,omnivorous,Late Cretaceous,75,81,Mongolia,MNG,small theropod,0.6,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html
achillobator,carnivorous,Late Cretaceous,99,84,Mongolia,MNG,large theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Perle Norell and Clark (1999),giganteus,https://www.nhm.ac.uk/discover/dino-directory/achillobator.html
quaesitosaurus,herbivorous,Late Cretaceous,86,84,Mongolia,MNG,sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Kurzanov and Bannikov (1983),orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html
segnosaurus,carnivorous,Late Cretaceous,97,88,Mongolia,MNG,large theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html
erlikosaurus,omnivorous,Late Cretaceous,99,89,Mongolia,MNG,small theropod,3.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle vide Barsbold and Perle (1980),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html
garudimimus,omnivorous,Late Cretaceous,99,89,Mongolia,MNG,large theropod,4.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html
talarurus,herbivorous,Late Cretaceous,99,89,Mongolia,MNG,armoured dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html
